"Edge_ID","Record_ID","Source_ID","Source_type","Relation","Target_ID","Target_type","Evidence_ID","Evidence_strength"
"E000001","FS0001","MAT000024","MaterialPlatform","COMPOSED_OF","COM000035","MaterialComposition","EV000001","Medium"
"E000002","FS0001","MAT000024","MaterialPlatform","FABRICATED_BY","FAB000009","FabricationStrategy","EV000002","High"
"E000003","FS0001","MAT000024","MaterialPlatform","TARGETS","CEL000014","TargetCell","EV000003","High"
"E000004","FS0001","MAT000024","MaterialPlatform","USES","DES000001","DesignMode","EV000004","Medium"
"E000005","FS0001","MAT000024","MaterialPlatform","VALIDATED_AT","VAL000001","ValidationStage","EV000005","High"
"E000006","FS0001","MAT000024","MaterialPlatform","VALIDATED_AT","VAL000004","ValidationStage","EV000006","High"
"E000007","FS0001","MAT000024","MaterialPlatform","VALIDATED_AT","VAL000005","ValidationStage","EV000007","High"
"E000008","FS0005","MAT000099","MaterialPlatform","USES","DES000008","DesignMode","EV000008","High"
"E000009","FS0005","MAT000099","MaterialPlatform","VALIDATED_AT","VAL000005","ValidationStage","EV000009","High"
"E000010","FS0007","MAT000059","MaterialPlatform","COMPOSED_OF","COM000019","MaterialComposition","EV000010","High"
"E000011","FS0007","MAT000059","MaterialPlatform","FABRICATED_BY","FAB000010","FabricationStrategy","EV000011","High"
"E000012","FS0007","MAT000059","MaterialPlatform","FABRICATED_BY","FAB000036","FabricationStrategy","EV000012","High"
"E000013","FS0007","MAT000059","MaterialPlatform","FABRICATED_BY","FAB000042","FabricationStrategy","EV000013","High"
"E000014","FS0007","MAT000059","MaterialPlatform","VALIDATED_AT","VAL000001","ValidationStage","EV000014","High"
"E000015","FS0007","MAT000059","MaterialPlatform","VALIDATED_AT","VAL000005","ValidationStage","EV000015","High"
"E000016","FS0009","MAT000163","MaterialPlatform","COMPOSED_OF","COM000056","MaterialComposition","EV000016","High"
"E000017","FS0009","MAT000163","MaterialPlatform","COMPOSED_OF","COM000072","MaterialComposition","EV000017","High"
"E000018","FS0009","MAT000163","MaterialPlatform","FABRICATED_BY","FAB000025","FabricationStrategy","EV000018","High"
"E000019","FS0009","MAT000163","MaterialPlatform","FABRICATED_BY","FAB000043","FabricationStrategy","EV000019","High"
"E000020","FS0009","MAT000163","MaterialPlatform","PROMOTES","REG000004","RegenerativeEndpoint","EV000020","High"
"E000021","FS0009","MAT000163","MaterialPlatform","TARGETS","CEL000017","TargetCell","EV000021","High"
"E000022","FS0009","MAT000163","MaterialPlatform","USES","DES000014","DesignMode","EV000022","High"
"E000023","FS0009","MAT000163","MaterialPlatform","VALIDATED_AT","VAL000001","ValidationStage","EV000023","High"
"E000024","FS0009","MAT000163","MaterialPlatform","VALIDATED_AT","VAL000005","ValidationStage","EV000024","High"
"E000025","FS0011","MAT000197","MaterialPlatform","MODULATES","MEC000018","Mechanism","EV000025","Medium"
"E000026","FS0011","MAT000197","MaterialPlatform","VALIDATED_AT","VAL000001","ValidationStage","EV000026","High"
"E000027","FS0011","MAT000197","MaterialPlatform","VALIDATED_AT","VAL000005","ValidationStage","EV000027","High"
"E000028","FS0013","MAT000190","MaterialPlatform","COMPOSED_OF","COM000140","MaterialComposition","EV000028","High"
"E000029","FS0013","MAT000190","MaterialPlatform","FABRICATED_BY","FAB000020","FabricationStrategy","EV000029","High"
"E000030","FS0013","MAT000190","MaterialPlatform","RESPONDS_TO","STI000006","Stimulus","EV000030","High"
"E000031","FS0013","MAT000190","MaterialPlatform","VALIDATED_AT","VAL000001","ValidationStage","EV000031","High"
"E000032","FS0016","MAT000046","MaterialPlatform","COMPOSED_OF","COM000027","MaterialComposition","EV000032","Medium"
"E000033","FS0016","MAT000046","MaterialPlatform","MODULATES","MEC000006","Mechanism","EV000033","High"
"E000034","FS0016","MAT000046","MaterialPlatform","USES","DES000010","DesignMode","EV000034","Medium"
"E000035","FS0016","MAT000046","MaterialPlatform","VALIDATED_AT","VAL000005","ValidationStage","EV000035","Medium"
