"Evidence_ID","Edge_ID","Record_ID","DOI","Evidence_source","Evidence_location","Evidence_strength","Evidence_excerpt_available_locally"
"EV000001","E000001","FS0001","10.1016/j.bioactmat.2025.12.052","Abstract","PDF p.1/Abstract","Medium",TRUE
"EV000002","E000002","FS0001","10.1016/j.bioactmat.2025.12.052","Results","PDF p.3/Results","High",TRUE
"EV000003","E000003","FS0001","10.1016/j.bioactmat.2025.12.052","Results","PDF p.2/Results","High",TRUE
"EV000004","E000004","FS0001","10.1016/j.bioactmat.2025.12.052","Abstract","PDF p.1/Abstract","Medium",TRUE
"EV000005","E000005","FS0001","10.1016/j.bioactmat.2025.12.052","Results","PDF p.9/Results","High",TRUE
"EV000006","E000006","FS0001","10.1016/j.bioactmat.2025.12.052","Methods","PDF p.14/Methods","High",TRUE
"EV000007","E000007","FS0001","10.1016/j.bioactmat.2025.12.052","Results","PDF p.9/Results","High",TRUE
"EV000008","E000008","FS0005","10.1016/j.biomaterials.2026.124195","Results","PDF p.6/Results","High",TRUE
"EV000009","E000009","FS0005","10.1016/j.biomaterials.2026.124195","Abstract","PDF p.2/Abstract","High",TRUE
"EV000010","E000010","FS0007","10.1039/d5tb01165e","Results","PDF p.3/Results","High",TRUE
"EV000011","E000011","FS0007","10.1039/d5tb01165e","Methods","PDF p.13/Methods","High",TRUE
"EV000012","E000012","FS0007","10.1039/d5tb01165e","Methods","PDF p.12/Methods","High",TRUE
"EV000013","E000013","FS0007","10.1039/d5tb01165e","Methods","PDF p.12/Methods","High",TRUE
"EV000014","E000014","FS0007","10.1039/d5tb01165e","Methods","PDF p.13/Methods","High",TRUE
"EV000015","E000015","FS0007","10.1039/d5tb01165e","Methods","PDF p.14/Methods","High",TRUE
"EV000016","E000016","FS0009","10.1016/j.cej.2024.153661","Results","PDF p.3/Results","High",TRUE
"EV000017","E000017","FS0009","10.1016/j.cej.2024.153661","Methods","PDF p.13/Methods","High",TRUE
"EV000018","E000018","FS0009","10.1016/j.cej.2024.153661","Methods","PDF p.13/Methods","High",TRUE
"EV000019","E000019","FS0009","10.1016/j.cej.2024.153661","Methods","PDF p.13/Methods","High",TRUE
"EV000020","E000020","FS0009","10.1016/j.cej.2024.153661","Results","PDF p.9/Results","High",TRUE
"EV000021","E000021","FS0009","10.1016/j.cej.2024.153661","Results","PDF p.4/Results","High",TRUE
"EV000022","E000022","FS0009","10.1016/j.cej.2024.153661","Results","PDF p.6/Results","High",TRUE
"EV000023","E000023","FS0009","10.1016/j.cej.2024.153661","Abstract","PDF p.13/Abstract","High",TRUE
"EV000024","E000024","FS0009","10.1016/j.cej.2024.153661","Abstract","PDF p.9/Abstract","High",TRUE
"EV000025","E000025","FS0011","10.1021/acsami.5c15449","Results","PDF p.4/Results","Medium",TRUE
"EV000026","E000026","FS0011","10.1021/acsami.5c15449","Abstract","PDF p.7/Abstract","High",TRUE
"EV000027","E000027","FS0011","10.1021/acsami.5c15449","Abstract","PDF p.5/Abstract","High",TRUE
"EV000028","E000028","FS0013","10.1016/j.nantod.2026.103043","Results","PDF p.5/Results","High",TRUE
"EV000029","E000029","FS0013","10.1016/j.nantod.2026.103043","Results","PDF p.8/Results","High",TRUE
"EV000030","E000030","FS0013","10.1016/j.nantod.2026.103043","Methods","PDF p.6/Methods","High",TRUE
