"Stage","Count","Definition"
"Full-text studies",283,"Unique Record_ID studies included in the completed full-text semantic audit."
"Original candidate relations",3351,"All relation candidates before edge-level full-text validation."
"Initial SUPPORTED",1669,"Candidate edges directly supported before original PDF corrective additions."
"REJECTED",1234,"Original candidate edges rejected during edge-level validation."
"UNCLEAR",448,"Original candidate edges retained outside the core graph because evidence remained unclear."
"PDF-corrected new SUPPORTED",44,"Original PDF corrective additions supported by full-text discrepancy resolution."
"Pre-re-adjudication core edges",1713,"Initial SUPPORTED plus original PDF corrective additions."
"Net change after targeted re-adjudication",155,"Arithmetic difference: 1868 - 1713; this is not interpreted as 155 newly promoted edges."
"Final semantic-freeze core edges",1868,"Final SUPPORTED canonical graph after targeted relation re-adjudication and semantic freeze."
"Final canonical nodes",654,"Canonical nodes in the final frozen graph."
"Evidence records",1868,"One final evidence record per final core edge."
"Isolated studies",1,"Studies with no final frozen SUPPORTED core edge."
