"Category","Type","Count"
"Node_type","DesignMode",15
"Node_type","FabricationStrategy",44
"Node_type","MaterialComposition",180
"Node_type","MaterialPlatform",281
"Node_type","Mechanism",22
"Node_type","RegenerativeEndpoint",12
"Node_type","Stimulus",16
"Node_type","TargetCell",16
"Node_type","TherapeuticCargo",62
"Node_type","ValidationStage",6
"Relation_type","COMPOSED_OF",213
"Relation_type","DELIVERS",71
"Relation_type","FABRICATED_BY",162
"Relation_type","MODULATES",88
"Relation_type","PROMOTES",107
"Relation_type","RELEASES",61
"Relation_type","RESPONDS_TO",64
"Relation_type","TARGETS",313
"Relation_type","USES",222
"Relation_type","VALIDATED_AT",567
