"Node_ID","Node_type","Canonical_name","Synonyms","Description","Degree","Number_of_studies","Number_of_relation_types"
"CAR000001","TherapeuticCargo","AAV-Sirt3",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000002","TherapeuticCargo","ABT263",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000003","TherapeuticCargo","Retinoic acid (RA)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000004","TherapeuticCargo","AICAR",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000005","TherapeuticCargo","Allicin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000006","TherapeuticCargo","Astaxanthin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000007","TherapeuticCargo","BAI1",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000008","TherapeuticCargo","BAK",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000009","TherapeuticCargo","BFV",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000010","TherapeuticCargo","BMP-2",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000011","TherapeuticCargo","Calcium ions (Ca2+)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000012","TherapeuticCargo","Car and MTP-131",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000013","TherapeuticCargo","Cobalt ions (Co2+)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000014","TherapeuticCargo","Cordycepin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",3,2,2
"CAR000015","TherapeuticCargo","Curcumin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",3,3,2
"CAR000016","TherapeuticCargo","CXCL12",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000017","TherapeuticCargo","Dasatinib",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000018","TherapeuticCargo","EVs",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000019","TherapeuticCargo","EXO-si-STING",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000020","TherapeuticCargo","Exosomes","exos; exosome; exosomes","A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",8,5,2
"CAR000023","TherapeuticCargo","Fe3O4 nanoparticles",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000024","TherapeuticCargo","FGF-4",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000025","TherapeuticCargo","FGF18 mRNA",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000026","TherapeuticCargo","fisetin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",4,2,2
"CAR000027","TherapeuticCargo","Fmito",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000028","TherapeuticCargo","Ginsenoside Rg1",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000029","TherapeuticCargo","Hairyvein agrimony-derived nanovesicles (HA-NVs)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000030","TherapeuticCargo","Honey",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",3,2,2
"CAR000031","TherapeuticCargo","Hydrogen sulfide (H2S)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000032","TherapeuticCargo","IFN-γ-stimulated ECM",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000033","TherapeuticCargo","IGF-1",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000034","TherapeuticCargo","Iron ions",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,2,1
"CAR000035","TherapeuticCargo","isoliquiritigenin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000036","TherapeuticCargo","Licochalcone A",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000037","TherapeuticCargo","Ligustroflavone",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000038","TherapeuticCargo","Magnesium ions (Mg2+)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000039","TherapeuticCargo","Melatonin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000040","TherapeuticCargo","metformin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",6,5,2
"CAR000041","TherapeuticCargo","miR-140-5p",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000042","TherapeuticCargo","mitochondria",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000043","TherapeuticCargo","Nanozyme",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000044","TherapeuticCargo","NP-MSCs",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000045","TherapeuticCargo","OSK reprogramming proteins",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000046","TherapeuticCargo","P16-siRNA",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000047","TherapeuticCargo","p16INK4a siRNA",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000049","TherapeuticCargo","Procyanidin C1",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000050","TherapeuticCargo","quercetin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",15,8,2
"CAR000051","TherapeuticCargo","quercetin and Quercetin greigite nanozymes (G-NZ)",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000052","TherapeuticCargo","quercetin-primed senomorphic small extracellular vesicles",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
"CAR000053","TherapeuticCargo","rapamycin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",7,4,2
"CAR000054","TherapeuticCargo","resveratrol",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",3,2,2
"CAR000055","TherapeuticCargo","rhBMP-2 and Rapa",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",2,1,2
"CAR000056","TherapeuticCargo","Silibinin",,"A therapeutic molecule, protein, nucleic acid, vesicle, ion, organelle, or other bioactive payload carried by a material platform.",1,1,1
