"Node_ID","Node_type","Canonical_name","Degree","Number_of_studies","Number_of_relation_types"
"MAT000016","MaterialPlatform","ASD all-in-one smart hydrogel dressing",16,1,8
"MAT000035","MaterialPlatform","CCM@CS-HG hydrogel",14,1,10
"MAT000180","MaterialPlatform","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel",14,1,9
"MAT000062","MaterialPlatform","EGCG@MAB hydrogel",14,1,8
"MAT000134","MaterialPlatform","Lubricated hydrogel with STING-inhibiting EXOs",14,1,8
"MAT000133","MaterialPlatform","LT-NPs nanoplatform",13,1,8
"MAT000213","MaterialPlatform","Quercetin/HA-loaded TG-18 hydrogel",12,1,9
"MAT000065","MaterialPlatform","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles",12,1,8
"MAT000244","MaterialPlatform","GelMA@ZIF-8/PGE microsphere–hydrogel platform",12,1,8
"MAT000248","MaterialPlatform","Smart spatiotemporal drug-delivery hydrogels",12,1,8
"MAT000266","MaterialPlatform","TSH-Q quercetin-loaded temperature-sensitive hydrogel",12,1,8
"MAT000002","MaterialPlatform","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel",12,1,7
"MAT000074","MaterialPlatform","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles",12,1,7
"MAT000256","MaterialPlatform","Tannic-acid-loaded calcium-alginate/silk-fibroin-peptide/Bletilla-polysaccharide microspheres",12,1,7
"MAT000021","MaterialPlatform","BAI1-PSTB nanocomposite hydrogel",12,1,6
"MAT000235","MaterialPlatform","Self-healing hydrogels loaded with Spatholobi Caulis",11,1,9
"MAT000001","MaterialPlatform","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes",11,1,8
"MAT000075","MaterialPlatform","FGF-4/IGF-1-loaded cationic thermosensitive polymer scaffold",11,1,7
"MAT000078","MaterialPlatform","Fisetin-functionalized photoresponsive DNA nanocage",11,1,7
"MAT000131","MaterialPlatform","Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch",11,1,7
"MAT000142","MaterialPlatform","MG@IFN-γ-ECM cartilage-anchoring microgels",11,1,6
"MAT000196","MaterialPlatform","Phenylboronic-acid-grafted hyaluronic-acid/TIMP-3 hydrogel",11,1,6
"MAT000278","MaterialPlatform","ZIF-8/resveratrol nanoformulation",11,1,6
"MAT000114","MaterialPlatform","HydroWrap hydrogen-sulfide-delivery hydrogel",10,1,9
"MAT000079","MaterialPlatform","FMAG nanoplatform",10,1,8
"MAT000097","MaterialPlatform","GPQ pH-responsive anti-senescence hydrogel",10,1,8
"MAT000169","MaterialPlatform","Multimodal ROS-logic-gated therapeutic platform",10,1,8
"MAT000008","MaterialPlatform","Adhesive injectable NRF2-modulating hydrogel microspheres",10,1,7
"MAT000105","MaterialPlatform","HPQ@K superlubricative drug-delivery nanoparticles",10,1,7
"MAT000161","MaterialPlatform","MOTS-c-modified functional self-assembly peptide hydrogels",10,1,7
"MAT000163","MaterialPlatform","MRRH@UB multilayer ROS-responsive hydrogel",10,1,7
"MAT000172","MaterialPlatform","Nanocatalytic MOF-coated titanium implant",10,1,7
"MAT000191","MaterialPlatform","PCC1/PHCF-Gel senolytic hydrogel",10,1,7
"MAT000200","MaterialPlatform","Polyphenol-armored miR-140-5p nanogene-loaded bioadhesive hydrogel",10,1,7
"MAT000214","MaterialPlatform","Quercetin-loaded aligned-nanowire hydrogel",10,1,7
"MAT000233","MaterialPlatform","Se/PRP-OGel hydrogel",10,1,7
"MAT000265","MaterialPlatform","TPG@ChSMA mitochondrial-targeted hydrogel",10,1,7
"MAT000063","MaterialPlatform","Electrospun scaffold–bioreactor system",10,1,6
"MAT000090","MaterialPlatform","GG-5SS strontium-silicate hydrogel scaffold",10,1,6
"MAT000098","MaterialPlatform","Hairyvein-agrimony-nanovesicle-loaded microneedles",10,1,6
"MAT000138","MaterialPlatform","MCTM metformin-loaded CMCS/tannic-acid/manganese hydrogel",10,1,6
"MAT000166","MaterialPlatform","MSOH hydrogel",10,1,6
"MAT000255","MaterialPlatform","TA-PFC/PCK fiber scaffold",10,1,6
"MAT000012","MaterialPlatform","α-Arbutin-crosslinked chitosan/gelatin film",10,1,6
"MAT000155","MaterialPlatform","MM@MS@ABT macrophage-membrane-coated magnetic nanospheres",10,1,5
"MAT000277","MaterialPlatform","(ZIF-8@CeO2)@GOx-loaded sprayable GelMA hydrogel",9,1,7
"MAT000091","MaterialPlatform","GLRX3+ extracellular-vesicle redox-modulatory hydrogel",9,1,7
"MAT000088","MaterialPlatform","Gelatin-microcarrier-based MSC microtissues",9,1,7
"MAT000156","MaterialPlatform","MMZ@Si–P53 hydrogel",9,1,7
"MAT000183","MaterialPlatform","OSK-protein-delivery and inflammatory-niche-remodeling platform",9,1,7
"MAT000125","MaterialPlatform","Injectable microgels carrying engineered biomimetic nanoparticles",9,1,6
"MAT000162","MaterialPlatform","MPN/BMP@HA hydrogel",9,1,6
"MAT000182","MaterialPlatform","Orbital hybridization-mediated nanozymes",9,1,6
