"Record_ID","Material","Stimulus","Evidence_RESPONDS_TO","Released_cargo","Evidence_RELEASES","Interpretation"
"FS0020","MPN/BMP@HA hydrogel","Acidic pH","EV001719","BMP-2","EV000042","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0036","CCM@CS-HG hydrogel","Glucose; ROS","EV000086; EV000087","Car and MTP-131","EV000085","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0067","Asp10SAC4A supramolecular senolytic nanoplatform","Hypoxia","EV000165","Dasatinib; quercetin","EV000163; EV000164","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0105","Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch","Acidic pH","EV001740","TGF-β3","EV000251","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0133","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel","Acidic pH; ROS","EV001744; EV001745","quercetin and Quercetin greigite nanozymes (G-NZ)","EV000337","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0147","TT@P-Gel hydrogel","Ultrasound","EV000375","tannic acid","EV000374","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0223","Fisetin-functionalized photoresponsive DNA nanocage","Light","EV000561","fisetin","EV000560","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0232","GPQ pH-responsive anti-senescence hydrogel","Acidic pH","EV001763","quercetin","EV000590","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0247","PCC1/PHCF-Gel senolytic hydrogel","ROS","EV000637","Procyanidin C1","EV000636","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0399","FMAG nanoplatform","ROS","EV001791","fisetin","EV001025","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0400","Multimodal ROS-logic-gated therapeutic platform","ROS","EV001036","rapamycin","EV001035","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0428","Self-healing hydrogels loaded with Spatholobi Caulis","Mechanical strain","EV001800","Spatholobi Caulis","EV001088","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0462","LT-NPs nanoplatform","ROS","EV001193","Licochalcone A","EV001192","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0472","HydroWrap hydrogen-sulfide-delivery hydrogel","NIR light","EV001811","Hydrogen sulfide (H2S)","EV001225","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0534","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles","Acidic pH; Magnetic field; β-galactosidase","EV001319; EV001890; EV001891","Iron ions","EV001318","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0657","Quercetin/HA-loaded TG-18 hydrogel","Senescence-associated esterase/SASP-associated enzymatic milieu","EV001828","quercetin","EV001442","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
"FS0810","ASD all-in-one smart hydrogel dressing","Acidic pH","EV001836","Cobalt ions (Co2+); CXCL12; Ginsenoside Rg1; Ligustroflavone","EV001564; EV001565; EV001566; EV001567","Co-supported responsiveness and release in the same Study/Material; this does not imply a trigger-to-release causal link."
