"Record_ID","Target_cell","Mechanism","Regenerative_endpoint","Evidence_TARGET","Evidence_MECHANISM","Evidence_PROMOTES"
"FS0036","Fibroblasts/keratinocytes/skin cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000088","EV000083","EV000084"
"FS0043","Mesenchymal stem/stromal cells","βPIX–ITGB1–RAC1–NOX1 signaling","Bone regeneration/osteogenesis","EV000110","EV000108","EV000109"
"FS0082","Macrophages/innate immune cells","Paracrine/EV-mediated signaling","Bone regeneration/osteogenesis","EV000203","EV000200","EV000201"
"FS0082","Mesenchymal stem/stromal cells","Paracrine/EV-mediated signaling","Bone regeneration/osteogenesis","EV000204","EV000200","EV000201"
"FS0122","Macrophages/innate immune cells","Immune modulation/macrophage polarization","Wound healing/skin regeneration","EV000307","EV000305","EV000306"
"FS0136","Mesenchymal stem/stromal cells","NF-κB/SASP/inflammatory signaling","Bone regeneration/osteogenesis","EV000360","EV000358","EV000359"
"FS0142","Chondrocytes/cartilage progenitors","ROS/oxidative-stress control","Cartilage regeneration/chondroprotection","EV000368","EV000365","EV000366"
"FS0207","Endothelial/vascular cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000517","EV000515","EV000516"
"FS0207","Fibroblasts/keratinocytes/skin cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000518","EV000515","EV000516"
"FS0207","Senescent cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000519","EV000515","EV000516"
"FS0222","Nucleus pulposus/annulus fibrosus cells","NF-κB/SASP/inflammatory signaling","Intervertebral-disc regeneration","EV000550","EV000548","EV000549"
"FS0226","Senescent cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV000568","EV000566","EV000567"
"FS0238","Endothelial/vascular cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000604","EV000602","EV000603"
"FS0238","Macrophages/innate immune cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000605","EV000602","EV000603"
"FS0248","Endothelial/vascular cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000646","EV000644","EV000645"
"FS0248","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000647","EV000644","EV000645"
"FS0279","Chondrocytes/cartilage progenitors","Mitochondrial homeostasis/mitophagy","Cartilage regeneration/chondroprotection","EV000693","EV000691","EV000692"
"FS0282","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000702","EV000700","EV000701"
"FS0283","Endothelial/vascular cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000710","EV000708","EV000709"
"FS0283","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000711","EV000708","EV000709"
"FS0296","Mesenchymal stem/stromal cells","p16/p21/p53–Rb cell-cycle arrest","Bone regeneration/osteogenesis","EV000737","EV000735","EV000736"
"FS0296","Neural stem cells/neurons/glia","p16/p21/p53–Rb cell-cycle arrest","Bone regeneration/osteogenesis","EV000738","EV000735","EV000736"
"FS0322","Chondrocytes/cartilage progenitors","p16/p21/p53–Rb cell-cycle arrest","Cartilage regeneration/chondroprotection","EV000804","EV000801","EV000802"
"FS0322","Mesenchymal stem/stromal cells","p16/p21/p53–Rb cell-cycle arrest","Cartilage regeneration/chondroprotection","EV000805","EV000801","EV000802"
"FS0338","Mesenchymal stem/stromal cells","AMPK–mTOR–sirtuin signaling","Intervertebral-disc regeneration","EV000849","EV000847","EV000848"
"FS0338","Nucleus pulposus/annulus fibrosus cells","AMPK–mTOR–sirtuin signaling","Intervertebral-disc regeneration","EV000850","EV000847","EV000848"
"FS0346","Periodontal/dental stem cells","Angiogenic/HIF–VEGF signaling","Bone regeneration/osteogenesis","EV000869","EV000867","EV000868"
"FS0350","Mesenchymal stem/stromal cells","AMPK–mTOR–sirtuin signaling","Bone regeneration/osteogenesis","EV000881","EV000879","EV000880"
"FS0384","Osteoblasts/osteocytes/osteoclasts","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000965","EV000963","EV000964"
"FS0384","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000966","EV000963","EV000964"
"FS0400","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001037","EV001033","EV001034"
"FS0402","Endothelial/vascular cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV001045","EV001043","EV001044"
"FS0436","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001111","EV001109","EV001110"
"FS0436","Osteoblasts/osteocytes/osteoclasts","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001112","EV001109","EV001110"
"FS0472","Macrophages/innate immune cells","NF-κB/SASP/inflammatory signaling","Bone regeneration/osteogenesis","EV001226","EV001223","EV001224"
"FS0487","Macrophages/innate immune cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001245","EV001243","EV001244"
"FS0487","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001246","EV001243","EV001244"
"FS0490","Senescent cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV001261","EV001258","EV001259"
"FS0598","Endothelial/vascular cells","Angiogenic/HIF–VEGF signaling","Wound healing/skin regeneration","EV001387","EV001385","EV001386"
"FS0598","Mesenchymal stem/stromal cells","Angiogenic/HIF–VEGF signaling","Wound healing/skin regeneration","EV001388","EV001385","EV001386"
"FS0624","Mesenchymal stem/stromal cells","Apoptosis/cell-survival regulation","Bone regeneration/osteogenesis","EV001396","EV001394","EV001395"
"FS0696","Chondrocytes/cartilage progenitors","Epigenetic/chromatin regulation","Cartilage regeneration/chondroprotection","EV001463","EV001461","EV001462"
"FS0709","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Tendon/ligament regeneration","EV001483","EV001481","EV001482"
"FS0738","Mesenchymal stem/stromal cells","Apoptosis/cell-survival regulation","Neural regeneration/function","EV001510","EV001508","EV001509"
"FS0765","Chondrocytes/cartilage progenitors","Apoptosis/cell-survival regulation","Cartilage regeneration/chondroprotection","EV001520","EV001518","EV001519"
"FS0765","Senescent cells","Apoptosis/cell-survival regulation","Cartilage regeneration/chondroprotection","EV001521","EV001518","EV001519"
"FS0783","Fibroblasts/keratinocytes/skin cells","p16/p21/p53–Rb cell-cycle arrest","Wound healing/skin regeneration","EV001535","EV001533","EV001534"
"FS0913","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Intervertebral-disc regeneration","EV001636","EV001634","EV001635"
"FS0913","Nucleus pulposus/annulus fibrosus cells","ROS/oxidative-stress control","Intervertebral-disc regeneration","EV001637","EV001634","EV001635"
"FS1052","Endothelial/vascular cells","Mitochondrial homeostasis/mitophagy","Bone regeneration/osteogenesis","EV001700","EV001698","EV001699"
"FS1052","Mesenchymal stem/stromal cells","Mitochondrial homeostasis/mitophagy","Bone regeneration/osteogenesis","EV001701","EV001698","EV001699"
