"Record_ID","Material","Target_cells","Mechanisms","Regenerative_endpoints","Evidence_IDs"
"FS0036","CCM@CS-HG hydrogel","Fibroblasts/keratinocytes/skin cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000083; EV000084; EV000088"
"FS0043","PAA–EDA-grafted porous PEEK scaffold","Mesenchymal stem/stromal cells","βPIX–ITGB1–RAC1–NOX1 signaling","Bone regeneration/osteogenesis","EV000108; EV000109; EV000110"
"FS0082","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes","Macrophages/innate immune cells; Mesenchymal stem/stromal cells","Paracrine/EV-mediated signaling","Bone regeneration/osteogenesis","EV000200; EV000201; EV000203; EV000204"
"FS0122","GM-Gel glycyrrhizic-acid-microsphere-loaded GEP/chitosan hydrogel","Macrophages/innate immune cells","Immune modulation/macrophage polarization","Wound healing/skin regeneration","EV000305; EV000306; EV000307"
"FS0136","A20-CRISPRa injectable microspheres","Mesenchymal stem/stromal cells","NF-κB/SASP/inflammatory signaling","Bone regeneration/osteogenesis","EV000358; EV000359; EV000360"
"FS0142","HPQ@K superlubricative drug-delivery nanoparticles","Chondrocytes/cartilage progenitors","ROS/oxidative-stress control","Cartilage regeneration/chondroprotection","EV000365; EV000366; EV000368"
"FS0207","ABT-263-loaded asymmetric composite wound dressing","Endothelial/vascular cells; Fibroblasts/keratinocytes/skin cells; Senescent cells","Senolytic cell clearance","Wound healing/skin regeneration","EV000515; EV000516; EV000517; EV000518; EV000519"
"FS0222","Zn@MOF-gel dual-polyphenol ECM-mimetic hydrogel","Nucleus pulposus/annulus fibrosus cells","NF-κB/SASP/inflammatory signaling","Intervertebral-disc regeneration","EV000548; EV000549; EV000550"
"FS0226","YBEV-loaded GelMA hydrogel","Senescent cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV000566; EV000567; EV000568"
"FS0238","PEG-HS/TiO2 nanocomposite","Endothelial/vascular cells; Macrophages/innate immune cells","ROS/oxidative-stress control","Wound healing/skin regeneration","EV000602; EV000603; EV000604; EV000605"
"FS0248","Smart spatiotemporal drug-delivery hydrogels","Endothelial/vascular cells; Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000644; EV000645; EV000646; EV000647"
"FS0279","Lesion-localized hydrogels functionalized with engineered extracellular matrix","Chondrocytes/cartilage progenitors","Mitochondrial homeostasis/mitophagy","Cartilage regeneration/chondroprotection","EV000691; EV000692; EV000693"
"FS0282","Nanoceria-infused PCL nanofibrous scaffold","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000700; EV000701; EV000702"
"FS0283","Orbital hybridization-mediated nanozymes","Endothelial/vascular cells; Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000708; EV000709; EV000710; EV000711"
"FS0296","MMZ@Si–P53 hydrogel","Mesenchymal stem/stromal cells; Neural stem cells/neurons/glia","p16/p21/p53–Rb cell-cycle arrest","Bone regeneration/osteogenesis","EV000735; EV000736; EV000737; EV000738"
"FS0322","CAP-CD56+CD271+ BMSC-exosome-loaded PVA/SA hydrogel","Chondrocytes/cartilage progenitors; Mesenchymal stem/stromal cells","p16/p21/p53–Rb cell-cycle arrest","Cartilage regeneration/chondroprotection","EV000801; EV000802; EV000804; EV000805"
"FS0338","MOTS-c-modified functional self-assembly peptide hydrogels","Mesenchymal stem/stromal cells; Nucleus pulposus/annulus fibrosus cells","AMPK–mTOR–sirtuin signaling","Intervertebral-disc regeneration","EV000847; EV000848; EV000849; EV000850"
"FS0346","Multifunctional pH-responsive microneedles","Periodontal/dental stem cells","Angiogenic/HIF–VEGF signaling","Bone regeneration/osteogenesis","EV000867; EV000868; EV000869"
"FS0350","Senescence-targeted NAD+-dependent SIRT1-activating nanoplatform","Mesenchymal stem/stromal cells","AMPK–mTOR–sirtuin signaling","Bone regeneration/osteogenesis","EV000879; EV000880; EV000881"
"FS0384","α-Arbutin-crosslinked chitosan/gelatin film","Osteoblasts/osteocytes/osteoclasts; Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000963; EV000964; EV000965; EV000966"
"FS0400","Multimodal ROS-logic-gated therapeutic platform","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001033; EV001034; EV001037"
"FS0402","PDA@RES NIR-responsive core–shell nanoplatform","Endothelial/vascular cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV001043; EV001044; EV001045"
"FS0436","CeO2 nanozymes","Mesenchymal stem/stromal cells; Osteoblasts/osteocytes/osteoclasts","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001109; EV001110; EV001111; EV001112"
"FS0472","HydroWrap hydrogen-sulfide-delivery hydrogel","Macrophages/innate immune cells","NF-κB/SASP/inflammatory signaling","Bone regeneration/osteogenesis","EV001223; EV001224; EV001226"
