"Regenerative_endpoint","Edge_count","Study_count"
"Bone regeneration/osteogenesis",42,42
"Cardiac repair/function",2,2
"Cartilage regeneration/chondroprotection",14,14
"Diabetic wound closure, angiogenesis, collagen deposition and skin regeneration",1,1
"Hepatic repair/function",2,2
"Intervertebral-disc regeneration",8,8
"Neural regeneration/function",3,3
"Periodontal/oral-tissue regeneration",1,1
"Stemness/proliferation/differentiation restoration",3,3
"Tendon/ligament regeneration",2,2
"Vascular regeneration/angiogenesis",1,1
"Wound healing/skin regeneration",28,28
