"Mechanism","Edge_count","Study_count"
"AMPK–mTOR–sirtuin signaling",3,3
"Angiogenic/HIF–VEGF signaling",6,6
"Apoptosis/cell-survival regulation",4,4
"Autophagy/lysosomal homeostasis",2,2
"DNA-damage/telomere repair",1,1
"ECM remodeling/mechanical niche",1,1
"Epigenetic/chromatin regulation",1,1
"Ferroptosis/lipid peroxidation",1,1
"Immune modulation/macrophage polarization",3,3
"M1-to-M2 macrophage polarization/osteoblast–osteoclast balance",1,1
"MAPK/p38/JNK/ERK signaling",1,1
"Mitochondrial homeostasis/mitophagy",13,13
"Mitochondrial transfer/metabolic restoration",1,1
"NF-κB",1,1
"NF-κB/SASP/inflammatory signaling",12,12
"Paracrine/EV-mediated signaling",2,2
"ROS/oxidative-stress control",23,23
"Senolytic cell clearance",1,1
"TGF-β/Smad/fibrotic signaling",2,2
"YAP/TAZ/mechanotransduction",3,3
"p16/p21/p53–Rb cell-cycle arrest",5,5
"βPIX–ITGB1–RAC1–NOX1 signaling",1,1
