"Target_cell","Edge_count","Study_count"
"Cardiomyocytes/cardiac progenitors",2,2
"Chondrocytes/cartilage progenitors",30,30
"Endothelial/vascular cells",26,26
"Fibroblasts/keratinocytes/skin cells",22,22
"Hepatic cells",1,1
"Macrophages/innate immune cells",33,33
"Mesenchymal stem/stromal cells",100,100
"Neural stem cells/neurons/glia",2,2
"Nucleus pulposus/annulus fibrosus cells",26,26
"Osteoblasts/osteocytes/osteoclasts",11,11
"Periodontal/dental stem cells",5,5
"Senescent cells",48,48
"Senescent human articular chondrocytes",1,1
"Skeletal-muscle/satellite cells",2,2
"Tenocytes/tendon progenitors",3,3
"Vascular endothelial cells (HUVECs)",1,1
