"Node_ID","Node_type","Canonical_name","Display_group","Rule"
"CEL000001","TargetCell","Cardiomyocytes/cardiac progenitors","Stem/progenitor cells","stem|bmsc|msc|progenitor"
"CEL000002","TargetCell","Chondrocytes/cartilage progenitors","Stem/progenitor cells","stem|bmsc|msc|progenitor"
"CEL000003","TargetCell","Endothelial/vascular cells","Endothelial cells","endothel|huvec"
"CEL000004","TargetCell","Fibroblasts/keratinocytes/skin cells","Fibroblasts","fibro"
"CEL000005","TargetCell","Hepatic cells","Other","no heuristic match; fine-grained canonical node retained"
"CEL000007","TargetCell","Macrophages/innate immune cells","Immune cells","macroph|immune|microglia"
"CEL000008","TargetCell","Mesenchymal stem/stromal cells","Stem/progenitor cells","stem|bmsc|msc|progenitor"
"CEL000009","TargetCell","Neural stem cells/neurons/glia","Stem/progenitor cells","stem|bmsc|msc|progenitor"
"CEL000010","TargetCell","Nucleus pulposus/annulus fibrosus cells","Nucleus pulposus cells","nucleus pulposus|\bnpc"
"CEL000011","TargetCell","Osteoblasts/osteocytes/osteoclasts","Bone-lineage cells","osteoblast|osteocyte"
"CEL000012","TargetCell","Periodontal/dental stem cells","Stem/progenitor cells","stem|bmsc|msc|progenitor"
"CEL000013","TargetCell","Senescent cells","Other","no heuristic match; fine-grained canonical node retained"
"CEL000014","TargetCell","Senescent human articular chondrocytes","Chondrocytes","chondro"
"CEL000015","TargetCell","Skeletal-muscle/satellite cells","Other","no heuristic match; fine-grained canonical node retained"
"CEL000016","TargetCell","Tenocytes/tendon progenitors","Stem/progenitor cells","stem|bmsc|msc|progenitor"
"CEL000017","TargetCell","Vascular endothelial cells (HUVECs)","Endothelial cells","endothel|huvec"
"MEC000001","Mechanism","AMPK–mTOR–sirtuin signaling","Mitochondrial/metabolic regulation","mitochond|metabol|sirt|ampk|akt"
"MEC000002","Mechanism","Angiogenic/HIF–VEGF signaling","Angiogenesis/vascular regulation","angio|vegf|vascular"
"MEC000003","Mechanism","Apoptosis/cell-survival regulation","Cell survival/proliferation","apopt|survival|prolifer"
"MEC000004","Mechanism","Autophagy/lysosomal homeostasis","Autophagy/mitophagy","autoph|mitoph"
"MEC000005","Mechanism","βPIX–ITGB1–RAC1–NOX1 signaling","Other","no heuristic match; fine-grained canonical node retained"
"MEC000006","Mechanism","Mitochondrial transfer/metabolic restoration","Mitochondrial/metabolic regulation","mitochond|metabol|sirt|ampk|akt"
"MEC000007","Mechanism","DNA-damage/telomere repair","Other","no heuristic match; fine-grained canonical node retained"
"MEC000008","Mechanism","ECM remodeling/mechanical niche","ECM remodeling","matrix|ecm|mmp|collagen"
"MEC000009","Mechanism","Epigenetic/chromatin regulation","Other","no heuristic match; fine-grained canonical node retained"
"MEC000010","Mechanism","Ferroptosis/lipid peroxidation","Oxidative-stress/redox regulation","ros|oxid|redox|nrf2"
"MEC000011","Mechanism","Immune modulation/macrophage polarization","Inflammation/immune regulation","inflamm|nf-κb|macroph|immune|cytokine"
"MEC000012","Mechanism","MAPK/p38/JNK/ERK signaling","Other","no heuristic match; fine-grained canonical node retained"
"MEC000013","Mechanism","Mitochondrial homeostasis/mitophagy","Autophagy/mitophagy","autoph|mitoph"
"MEC000014","Mechanism","NF-κB","Inflammation/immune regulation","inflamm|nf-κb|macroph|immune|cytokine"
"MEC000015","Mechanism","NF-κB/SASP/inflammatory signaling","Inflammation/immune regulation","inflamm|nf-κb|macroph|immune|cytokine"
"MEC000016","Mechanism","p16/p21/p53–Rb cell-cycle arrest","Senescence/SASP regulation","senesc|sasp|p16|p21"
"MEC000017","Mechanism","Paracrine/EV-mediated signaling","Other","no heuristic match; fine-grained canonical node retained"
"MEC000018","Mechanism","M1-to-M2 macrophage polarization/osteoblast–osteoclast balance","Inflammation/immune regulation","inflamm|nf-κb|macroph|immune|cytokine"
"MEC000019","Mechanism","ROS/oxidative-stress control","Oxidative-stress/redox regulation","ros|oxid|redox|nrf2"
"MEC000020","Mechanism","Senolytic cell clearance","Other","no heuristic match; fine-grained canonical node retained"
"MEC000021","Mechanism","TGF-β/Smad/fibrotic signaling","Other","no heuristic match; fine-grained canonical node retained"
"MEC000022","Mechanism","YAP/TAZ/mechanotransduction","Other","no heuristic match; fine-grained canonical node retained"
"REG000001","RegenerativeEndpoint","Bone regeneration/osteogenesis","Bone regeneration","bone|osteogen|osseointegr"
"REG000002","RegenerativeEndpoint","Cardiac repair/function","Cardiac repair","cardiac|myocard"
"REG000003","RegenerativeEndpoint","Cartilage regeneration/chondroprotection","Cartilage regeneration","cartilage|chondr|osteoarth"
"REG000004","RegenerativeEndpoint","Diabetic wound closure, angiogenesis, collagen deposition and skin regeneration","Skin/wound repair","wound|skin|dermal"
"REG000005","RegenerativeEndpoint","Hepatic repair/function","Other","no heuristic match; fine-grained canonical node retained"
"REG000006","RegenerativeEndpoint","Intervertebral-disc regeneration","Intervertebral-disc regeneration","disc|nucleus pulposus|ivd"
"REG000007","RegenerativeEndpoint","Neural regeneration/function","Neural repair","neural|nerve|brain"
"REG000008","RegenerativeEndpoint","Periodontal/oral-tissue regeneration","Other","no heuristic match; fine-grained canonical node retained"
"REG000009","RegenerativeEndpoint","Stemness/proliferation/differentiation restoration","Other","no heuristic match; fine-grained canonical node retained"
"REG000010","RegenerativeEndpoint","Tendon/ligament regeneration","Musculoskeletal soft-tissue repair","tendon|muscle"
"REG000011","RegenerativeEndpoint","Vascular regeneration/angiogenesis","Vascular regeneration","vascular|angio|vessel"
"REG000012","RegenerativeEndpoint","Wound healing/skin regeneration","Skin/wound repair","wound|skin|dermal"
