"Record_ID","Functional_outcome","Validation_stage","Regenerative_endpoint"
"FS0001","Improved hotplate/von Frey pain thresholds and gait in OA mice; preserved disc-height index in rats","Cell; Organoid/chip; Small animal; Human-derived","Cartilage preservation/rejuvenation and attenuation of OA and IVDD"
"FS0005","No direct behavioral or biomechanical functional-recovery assay; evidence was micro-CT, BMD, new-bone formation and histology","Cell; Small animal","Osteoporotic bone-defect regeneration, osteogenesis and attenuation of systemic bone loss"
"FS0007","Improved von Frey withdrawal thresholds and open-field locomotor distance during weeks 1-4","Cell; Small animal","Cartilage preservation and restoration of osteoporotic bone mass"
"FS0009","No direct functional outcome demonstrated; wound closure was retained as a regenerative endpoint rather than a direct functional assay","Cell; Small animal","Diabetic wound closure, angiogenesis, collagen deposition and skin regeneration"
"FS0011","No direct functional-recovery assay; evidence was new-bone area and osteoblast/osteoclast/macrophage histology","Cell; Small animal","New-bone formation in an age-impaired calvarial defect"
"FS0013","No direct behavioral or biomechanical functional-recovery assay; evidence was micro-CT and histology at 1-2 weeks","Cell; Small animal","New-bone bridging, trabecular restoration and osteoid maturation in senescent osteoporotic defects"
"FS0016","Three-point bending showed improved maximum load, fracture load and femoral stiffness","Cell; Small animal","Restored trabecular architecture, bone mass and osteogenic BMSC populations"
"FS0018","No direct behavioral or biomechanical functional-recovery assay; evidence was fluorochrome labeling, micro-CT and histology","Cell; Small animal","Accelerated aged-bone defect closure, mineralization and mature lamellar bone formation; UNCLEAR: trabecular spacing/separation direction and units are internally inconsistent in the source text"
"FS0020","No direct behavioral or biomechanical functional-recovery assay; evidence was micro-CT and histology","Cell; Small animal","Bone mass augmentation, trabecular repair and osseointegration of aged osteoporotic defects"
"FS0021","No direct mastication, tooth-stability or biomechanical functional test; evidence was micro-CT, histology, cell function and microbiome composition","Cell; Ex vivo; Small animal","Alveolar-bone preservation; periodontal soft-tissue repair; BMMSC osteogenesis; oral-microbiota homeostasis"
"FS0022","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Organoid/chip; Small animal; Human-derived","Cartilage regeneration/chondroprotection"
"FS0024","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell","Wound healing/skin regeneration"
"FS0026","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Human-derived","Wound healing/skin regeneration"
"FS0033","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Ex vivo; Small animal; Human-derived","General tissue-regeneration enabling evidence"
"FS0035","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0036","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Wound healing/skin regeneration"
"FS0038","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0041","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal; Large animal; Human-derived","Intervertebral-disc regeneration"
"FS0042","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Intervertebral-disc regeneration"
"FS0043","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Bone regeneration/osteogenesis"
"FS0044","No direct behavioral, biomechanical, or organ-function recovery endpoint reported","Cell; Small animal","Cartilage regeneration/chondroprotection"
