"Edge_ID","Record_ID","Material","Validation_stage","Evidence_ID","Evidence_strength"
"E000062","FS0026","CaH2-MN hierarchical calcium-hydride microneedle platform","Human-derived","EV000062","High"
"E000073","FS0033","MM@MS@ABT macrophage-membrane-coated magnetic nanospheres","Human-derived","EV000073","High"
"E000183","FS0079","GMP-grade TDHLSP glass-microcarrier bioreactor system","Human-derived","EV000183","High"
"E000211","FS0087","Recombinant humanized type III collagen (rhCol III)","Human-derived","EV000211","High"
"E000232","FS0093","GP@MgO asymmetric short-fiber aerogel","Human-derived","EV000232","High"
"E000351","FS0134","Electrospun scaffold–bioreactor system","Human-derived","EV000351","High"
"E000371","FS0142","HPQ@K superlubricative drug-delivery nanoparticles","Human-derived","EV000371","High"
"E000398","FS0150","BAI1-PSTB nanocomposite hydrogel","Human-derived","EV000398","High"
"E000564","FS0223","Fisetin-functionalized photoresponsive DNA nanocage","Human-derived","EV000564","High"
"E000584","FS0230","Pericyte-membrane-coated saMAT2A lipid nanoparticles","Human-derived","EV000584","High"
"E000608","FS0238","PEG-HS/TiO2 nanocomposite","Human-derived","EV000608","High"
"E000650","FS0248","Smart spatiotemporal drug-delivery hydrogels","Human-derived","EV000650","High"
"E000717","FS0290","DASEA Regenbio bioreactor–microcarrier culture system","Human-derived","EV000717","High"
"E000756","FS0303","LINE1-ASO-loaded selectin-binding-peptide-engineered extracellular vesicles","Human-derived","EV000756","High"
"E000825","FS0326","AAV-loaded extracellular-vesicle biomimetic gene-delivery system","Human-derived","EV000825","High"
"E000852","FS0338","MOTS-c-modified functional self-assembly peptide hydrogels","Human-derived","EV000852","High"
"E000872","FS0346","Multifunctional pH-responsive microneedles","Human-derived","EV000872","High"
"E000951","FS0380","Phenylboronic-acid-grafted hyaluronic-acid/TIMP-3 hydrogel","Human-derived","EV000951","High"
"E001008","FS0394","Quercetin-loaded homogeneous PLGA microspheres","Human-derived","EV001008","High"
"E001019","FS0397","Cordycepin-Loaded Dental Pulp Stem Cell-Derived Exosomes","Human-derived","EV001019","High"
"E001063","FS0409","Curcumin-loaded milk-sEV/platelet-membrane hybrid vesicles","Human-derived","EV001063","High"
"E001073","FS0418","GelMA/PNS/Alg@IGF-1 hydrogel","Human-derived","EV001073","High"
"E001128","FS0439","TA-PFC/PCK fiber scaffold","Human-derived","EV001128","High"
"E001144","FS0449","Engineered extracellular vesicles","Human-derived","EV001144","High"
"E001167","FS0454","GBC@PNA sono-piezoelectric scaffold","Human-derived","EV001167","High"
"E001239","FS0482","miR-146a-5p-engineered exosomes","Human-derived","EV001239","High"
"E001293","FS0513","Aligned-topography soft hydrogel substrates","Human-derived","EV001293","Medium"
"E001313","FS0526","Metformin-loaded HA/gelatin electrospun nanofibers","Human-derived","EV001313","High"
"E001341","FS0538","ZIF-8/resveratrol nanoformulation","Human-derived","EV001341","High"
"E001543","FS0795","V156K-rapa-rHDL nanoparticles","Human-derived","EV001543","High"
"E001632","FS0912","Dual-drug-encapsulated liposomal nanoparticles","Human-derived","EV001632","Medium"
"E001651","FS0927","hTERT mRNA lipid nanoparticles","Human-derived","EV001651","High"
"E001681","FS1020","SRT1720-loaded calcium-phosphate/magnesium-phosphate nanocarriers","Human-derived","EV001681","High"
"E001693","FS1040","Hairyvein-agrimony-nanovesicle-loaded microneedles","Human-derived","EV001693","High"
"E001705","FS1052","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","Human-derived","EV001705","High"
"E001760","FS0208","Silibinin/PLGA/collagen electrospun nanofibers","Human-derived","EV001760","High"
"E001787","FS0358","Bioinspired Microgel Assembly of Liver-Derived Decellularized Extracellular Matrix","Human-derived","EV001787","High"
"E001803","FS0453","Pro-regenerative cardiac-progenitor-secretome nanoparticles","Human-derived","EV001803","High"
"E001812","FS0478","Dual-engineered chondrocyte-targeted extracellular vesicles","Human-derived","EV001812","High"
"E001816","FS0535","Magnetic-nanoparticle-coated fibroblast/ADSC constructs","Human-derived","EV001816","High"
"E001822","FS0595","Microcarrier–bioreactor culture system","Human-derived","EV001822","High"
"E001825","FS0628","Vitamin-E-doped sol–gel silica coating","Human-derived","EV001825","High"
"E001830","FS0678","Released from ZrO2/SiO2 coating resveratrol","Human-derived","EV001830","High"
"E001833","FS0761","miR-200/young-ECM bioscaffold","Human-derived","EV001833","High"
"E001835","FS0797","Cell-deposited extracellular matrix","Human-derived","EV001835","High"
"E001857","FS0168","SM@ME exosome-loaded methacrylated-silk-fibroin hydrogel","Human-derived","EV001857","High"
"E001866","FS0272","PVA–gallic-acid supramolecular hydrogel","Human-derived","EV001866","High"
"E001871","FS0310","rhCOL17-P334 conjugate","Human-derived","EV001871","High"
"E001883","FS0414","Autophagy-enhancing injectable hydrogel microspheres","Human-derived","EV001883","Medium"
"E001893","FS0552","p16INK4a-siRNA nanoparticles","Human-derived","EV001893","High"
"E001895","FS0701","Cerium oxide nanoparticles","Human-derived","EV001895","Medium"
"E001901","FS0809","Human-chondrocyte/polymer-scaffold tissue-engineered construct","Human-derived","EV001901","High"
"E001902","FS0842","Resveratrol-doped polyurethane–polylactide material","Human-derived","EV001902","High"
"E001905","FS0932","Molybdenum disulfide nanoparticles","Human-derived","EV001905","Medium"
