"Gap_type","Record_ID","Material","Existing_relations","Missing_relation"
"TYPE_A","FS0038","Iron oxide nanoparticles-driven mitochondrial renewal","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0056","Polyphenol-armored miR-140-5p nanogene-loaded bioadhesive hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0067","Asp10SAC4A supramolecular senolytic nanoplatform","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0073","Self-powered triboelectric-responsive EV-releasing microneedles","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0105","Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0133","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0147","TT@P-Gel hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0148","Se/PRP-OGel hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0166","IL37OI@MS responsive hydrogel microspheres","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0173","Hydrogel-coated micro/nanostructured titanium implant","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0178","D-EV-loaded thermosensitive injectable hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0183","ICAM1-directed MnO2@ZIF8/Tanshinone-IIA nanoplatform","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0223","Fisetin-functionalized photoresponsive DNA nanocage","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0232","GPQ pH-responsive anti-senescence hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0247","PCC1/PHCF-Gel senolytic hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0252","Immunomodulating regenerating hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0308","OSK-protein-delivery and inflammatory-niche-remodeling platform","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0312","HG-QNT nanocomposite hydrogel","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0392","Senolytic/proangiogenic smart hydrogel-coated implant","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0399","FMAG nanoplatform","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0419","Senile-osteoporosis titanium implant","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0428","Self-healing hydrogels loaded with Spatholobi Caulis","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0461","Active Magnesium Boride/Alginate Hydrogels","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0462","LT-NPs nanoplatform","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_A","FS0534","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles","RESPONDS_TO + TARGETS","PROMOTES"
"TYPE_B","FS0062","A-Lipo/PAHM lesion-localized hydrogel microspheres","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0090","TSH-Q quercetin-loaded temperature-sensitive hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0102","Porcine small-intestinal-submucosa extracellular-matrix scaffold","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0111","Retinoic-acid-loaded cartilage organoids","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0114","NH@K nanozyme-reinforced hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0124","Curcumin-loaded liposomes","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0133","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0147","TT@P-Gel hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0148","Se/PRP-OGel hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0166","IL37OI@MS responsive hydrogel microspheres","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0168","SM@ME exosome-loaded methacrylated-silk-fibroin hydrogel","TARGETS + MODULATES","PROMOTES"
"TYPE_B","FS0173","Hydrogel-coated micro/nanostructured titanium implant","TARGETS + MODULATES","PROMOTES"
