"Record_ID","Material","HAS_RESPONDS_TO","HAS_RELEASES","HAS_TARGETS","HAS_MODULATES","HAS_PROMOTES","HAS_VALIDATED_AT"
"FS0001","BGSC-organoid (dCSEV hydrogel-based biomimetic gradient-structured cartilage organoid)",0,0,1,0,0,1
"FS0005","Hardystonite (ZnCS; Ca2ZnSi2O7)",0,0,0,0,0,1
"FS0007","DS@Lip-FA (folate-modified denosumab-loaded liposomes)",0,0,0,0,0,1
"FS0009","MRRH@UB multilayer ROS-responsive hydrogel",1,0,1,0,1,1
"FS0011","Phosphatidylserine liposomes (PSLs) used with carbonate-apatite granules",0,0,0,1,0,1
"FS0013","PAZ hydrogel containing CZpz-MOF artificial antioxidase",1,0,0,0,0,1
"FS0016","CM-MTBM (CXCR4-engineered macrophages loaded with nanozyme-functionalized mitochondria)",0,0,0,1,0,1
"FS0018","PSeR multihierarchy ROS-regulated hydrogel",1,0,0,0,0,1
"FS0020","MPN/BMP@HA hydrogel",1,1,0,0,0,1
"FS0021","PPCG allicin-based biolubricating nanoplatform",0,1,0,0,0,1
"FS0022","MSOH hydrogel",0,0,1,0,0,1
"FS0024","CeO2@HA-loaded photothermal Janus patch",0,0,0,0,0,1
"FS0026","CaH2-MN hierarchical calcium-hydride microneedle platform",0,0,0,0,1,1
"FS0033","MM@MS@ABT macrophage-membrane-coated magnetic nanospheres",0,0,1,0,0,1
"FS0035","Mn4 tetranuclear manganese nanocluster",0,0,1,0,0,1
"FS0036","CCM@CS-HG hydrogel",1,1,1,1,1,1
"FS0038","Iron oxide nanoparticles-driven mitochondrial renewal",1,0,1,0,0,1
"FS0041","IHP@Yam engineered biomimetic intervertebral disc",0,0,1,0,0,1
"FS0042","MicroSphere and MicroRod anisotropic GelMA microgels",0,0,0,1,0,1
"FS0043","PAA–EDA-grafted porous PEEK scaffold",0,0,1,1,1,1
"FS0044","Lubricated hydrogel with STING-inhibiting EXOs",0,1,1,0,1,1
"FS0048","GO/FeSe2 bio-heterojunction",0,0,0,1,1,1
"FS0049","Antioxidant Proline Carbon Dot-Composited Poly(L-methionine) Hydrogel",0,0,1,0,0,1
"FS0050","OI-EV-loaded mesoporous bioactive-glass scaffold",0,0,0,0,0,1
"FS0054","Lipid-coated NMN-loaded amorphous-calcium-carbonate nanoparticles",0,0,0,0,0,1
"FS0056","Polyphenol-armored miR-140-5p nanogene-loaded bioadhesive hydrogel",1,0,1,0,0,1
"FS0058","DPMSC-loaded DAT–ALG hydrogel",0,0,0,0,0,1
