"Relation","Evidence_strength","Count"
"COMPOSED_OF","High",137
"COMPOSED_OF","Medium",76
"DELIVERS","High",47
"DELIVERS","Medium",24
"FABRICATED_BY","High",140
"FABRICATED_BY","Medium",22
"MODULATES","High",29
"MODULATES","Low",12
"MODULATES","Medium",47
"PROMOTES","High",89
"PROMOTES","Medium",18
"RELEASES","High",47
"RELEASES","Medium",14
"RESPONDS_TO","High",59
"RESPONDS_TO","Medium",5
"TARGETS","High",268
"TARGETS","Medium",45
"USES","High",198
"USES","Medium",24
"VALIDATED_AT","High",507
"VALIDATED_AT","Medium",60
