"Entity_type","Entity_count","Definition"
"Study",0,"A source article identified by Record_ID and DOI."
"MaterialPlatform",281,"A material, formulation, carrier or engineered construct that is the source node of validated edges."
"MaterialComposition",180,"A verified constituent of a material platform."
"FabricationStrategy",44,"A verified material manufacturing or processing operation."
"DesignMode",15,"A material/platform design class used by a validated study system."
"Stimulus",16,"A stimulus directly causing a validated material behavior change."
"ResponsiveBehavior",0,"A directly observed material response behavior; retained as an ontology type even when not the edge target."
"TherapeuticCargo",62,"A therapeutic molecule, protein, nucleic acid, organelle, cell product or ion actually delivered/released by a platform."
"TargetCell",16,"A cell type directly tested as an intervention target."
"SenescenceEvidence",0,"A senescence marker or induction evidence class; retained as an ontology type for future extension."
"Mechanism",22,"A mechanism, pathway or molecular node directly supported by study evidence."
"DiseaseModel",0,"An experimental disease/injury model; retained as an ontology type for future extension."
"RegenerativeEndpoint",12,"A directly reported repair or regenerative endpoint."
"ValidationStage",6,"The actual experimental validation level."
