"Discovery_ID","Discovery_category","Finding","Graph_pattern","Supporting_CQ","Supporting_materials","Record_IDs","Evidence_IDs","Supporting_count","Evidence_strength_profile","Evidence_gap","Interpretation_boundary"
"D001","Complete design motif","24个Study/Material满足MaterialPlatform→RESPONDS_TO→Stimulus + TARGETS→TargetCell + PROMOTES→RegenerativeEndpoint。","MaterialPlatform→RESPONDS_TO→Stimulus + TARGETS→TargetCell + PROMOTES→RegenerativeEndpoint","CQ01","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel; ASD all-in-one smart hydrogel dressing; CCM@CS-HG hydrogel; EGCG@MAB hydrogel; Electrostatically co-assembled extracellular-vesicle-infused hydrogel; EMHS HxMoO3-loaded bone-targeting lipid nanoparticles; GBC@PNA sono-piezoelectric scaffold; GLRX3+ extracellular-vesicle redox-modulatory hydrogel; HPQ@K superlubricative drug-delivery nanoparticles; HPTC ECM-mimetic injectable hydrogel; HydroWrap hydrogen-sulfide-delivery hydrogel; MMZ@Si–P53 hydrogel; MRRH@UB multilayer ROS-responsive hydrogel; Multifunctional pH-responsive microneedles; Multimodal ROS-logic-gated therapeutic platform; NADH-oxidase nanozyme; Nanocatalytic MOF-coated titanium implant; PDA@RES NIR-responsive core–shell nanoplatform; PTHrP supramolecular-peptide-loaded dual-network hydrogel; QCS-OST@Exos self-healing hydrogel; Quercetin/HA-loaded TG-18 hydrogel; Smart spatiotemporal drug-delivery hydrogels; YDC-Gel-Zn pseudo-mussel-foot-protein hydrogel adhesive; ZIF-8/resveratrol nanoformulation","FS0487; FS0810; FS0036; FS0490; FS0135; FS1052; FS0454; FS0913; FS0142; FS1054; FS0472; FS0296; FS0009; FS0346; FS0400; FS0356; FS0834; FS0402; FS0270; FS0704; FS0657; FS0248; FS0112; FS0538","EV000020; EV000021; EV000084; EV000086; EV000087; EV000088; EV000275; EV000276; EV000353; EV000355; EV000366; EV000367; EV000368; EV000645; EV000646; EV000647; EV000676; EV000678; EV000736; EV000737; EV000738; EV000868; EV000869; EV000883; EV000884; EV000885; EV001034; EV001036; EV001037; EV001044; EV001045; EV001162; EV001163; EV001164; EV001224; EV001226; EV001244; EV001245; EV001246; EV001259; EV001260; EV001261; EV001333; EV001334; EV001335; EV001336; EV001337; EV001338; EV001441; EV001443; EV001444; EV001471; EV001472; EV001473; EV001563; EV001568; EV001581; EV001582; EV001635; EV001636; EV001637; EV001699; EV001700; EV001701; EV001708; EV001709; EV001715; EV001747; EV001767; EV001773; EV001783; EV001786; EV001795; EV001811; EV001813; EV001814; EV001817; EV001828; EV001836; EV001841; EV001844; EV001851; EV001853; EV001863; EV001865; EV001881; EV001904; EV001906",24,"High=77; Medium=11; Low=0",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D002","Stimulus–release motif","17个Study/Material满足RESPONDS_TO + RELEASES。","RESPONDS_TO + RELEASES","CQ02","ASD all-in-one smart hydrogel dressing; Asp10SAC4A supramolecular senolytic nanoplatform; CCM@CS-HG hydrogel; F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles; Fisetin-functionalized photoresponsive DNA nanocage; FMAG nanoplatform; GPQ pH-responsive anti-senescence hydrogel; HydroWrap hydrogen-sulfide-delivery hydrogel; Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch; LT-NPs nanoplatform; MPN/BMP@HA hydrogel; Multimodal ROS-logic-gated therapeutic platform; OGPQ/G-NZ quercetin–greigite nanozyme hydrogel; PCC1/PHCF-Gel senolytic hydrogel; Quercetin/HA-loaded TG-18 hydrogel; Self-healing hydrogels loaded with Spatholobi Caulis; TT@P-Gel hydrogel","FS0810; FS0067; FS0036; FS0534; FS0223; FS0399; FS0232; FS0472; FS0105; FS0462; FS0020; FS0400; FS0133; FS0247; FS0657; FS0428; FS0147","EV000042; EV000085; EV000086; EV000087; EV000163; EV000164; EV000165; EV000251; EV000337; EV000374; EV000375; EV000560; EV000561; EV000590; EV000636; EV000637; EV001025; EV001035; EV001036; EV001088; EV001192; EV001193; EV001225; EV001318; EV001319; EV001442; EV001564; EV001565; EV001566; EV001567; EV001719; EV001740; EV001744; EV001745; EV001763; EV001791; EV001800; EV001811; EV001828; EV001836; EV001890; EV001891",17,"High=38; Medium=4; Low=0",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D003","Stimulus–mechanism–regeneration","12个Study/Material满足RESPONDS_TO + MODULATES + PROMOTES。","RESPONDS_TO + MODULATES + PROMOTES","CQ03","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel; CCM@CS-HG hydrogel; EGCG@MAB hydrogel; EMHS HxMoO3-loaded bone-targeting lipid nanoparticles; GLRX3+ extracellular-vesicle redox-modulatory hydrogel; HPQ@K superlubricative drug-delivery nanoparticles; HydroWrap hydrogen-sulfide-delivery hydrogel; MMZ@Si–P53 hydrogel; Multifunctional pH-responsive microneedles; Multimodal ROS-logic-gated therapeutic platform; PDA@RES NIR-responsive core–shell nanoplatform; Smart spatiotemporal drug-delivery hydrogels","FS0487; FS0036; FS0490; FS1052; FS0913; FS0142; FS0472; FS0296; FS0346; FS0400; FS0402; FS0248","EV000083; EV000084; EV000086; EV000087; EV000365; EV000366; EV000367; EV000644; EV000645; EV000735; EV000736; EV000867; EV000868; EV001033; EV001034; EV001036; EV001043; EV001044; EV001223; EV001224; EV001243; EV001244; EV001258; EV001259; EV001260; EV001634; EV001635; EV001698; EV001699; EV001747; EV001767; EV001773; EV001783; EV001795; EV001811; EV001813; EV001814; EV001844; EV001863; EV001881; EV001904",12,"High=28; Medium=13; Low=0",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D004","Cell–mechanism–regeneration","35个Study/Material满足TARGETS + MODULATES + PROMOTES。","TARGETS + MODULATES + PROMOTES","CQ05","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes; 3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel; A20-CRISPRa injectable microspheres; ABT-263-loaded asymmetric composite wound dressing; α-Arbutin-crosslinked chitosan/gelatin film; α-Klotho gene-activated scaffold; Antibody-functionalized copper-sulfate nanoparticles; Calcium-silicate ion-releasing biomaterial; CAP-CD56+CD271+ BMSC-exosome-loaded PVA/SA hydrogel; CCM@CS-HG hydrogel; CeO2 nanozymes; Cerium-oxide-nanoparticle-carrying hUCMSCs; EGCG@MAB hydrogel; EMHS HxMoO3-loaded bone-targeting lipid nanoparticles; Gelatin-microcarrier-based MSC microtissues; GLRX3+ extracellular-vesicle redox-modulatory hydrogel; GM-Gel glycyrrhizic-acid-microsphere-loaded GEP/chitosan hydrogel; HPQ@K superlubricative drug-delivery nanoparticles; HydroWrap hydrogen-sulfide-delivery hydrogel; Lesion-localized hydrogels functionalized with engineered extracellular matrix; Lycium barbarum-derived carbon dots; miR-29b-5p-loaded stem-cell-homing hydrogel; MMZ@Si–P53 hydrogel; MOTS-c-modified functional self-assembly peptide hydrogels; Multifunctional pH-responsive microneedles; Multimodal ROS-logic-gated therapeutic platform; Nanoceria-infused PCL nanofibrous scaffold; Orbital hybridization-mediated nanozymes; PAA–EDA-grafted porous PEEK scaffold; PDA@RES NIR-responsive core–shell nanoplatform; PEG-HS/TiO2 nanocomposite; Senescence-targeted NAD+-dependent SIRT1-activating nanoplatform; Smart spatiotemporal drug-delivery hydrogels; YBEV-loaded GelMA hydrogel; Zn@MOF-gel dual-polyphenol ECM-mimetic hydrogel","FS0082; FS0487; FS0136; FS0207; FS0384; FS0598; FS0765; FS0783; FS0322; FS0036; FS0436; FS0709; FS0490; FS1052; FS0738; FS0913; FS0122; FS0142; FS0472; FS0279; FS0624; FS0696; FS0296; FS0338; FS0346; FS0400; FS0282; FS0283; FS0043; FS0402; FS0238; FS0350; FS0248; FS0226; FS0222","EV000083; EV000084; EV000088; EV000108; EV000109; EV000110; EV000200; EV000201; EV000203; EV000204; EV000305; EV000306; EV000307; EV000358; EV000359; EV000360; EV000365; EV000366; EV000368; EV000515; EV000516; EV000517; EV000518; EV000519; EV000548; EV000549; EV000550; EV000566; EV000567; EV000568; EV000602; EV000603; EV000604; EV000605; EV000644; EV000645; EV000646; EV000647; EV000691; EV000692; EV000693; EV000700; EV000701; EV000702; EV000708; EV000709; EV000710; EV000711; EV000735; EV000736; EV000737; EV000738; EV000801; EV000802; EV000804; EV000805; EV000847; EV000848; EV000849; EV000850; EV000867; EV000868; EV000869; EV000879; EV000880; EV000881; EV000963; EV000964; EV000965; EV000966; EV001033; EV001034; EV001037; EV001043; EV001044; EV001045; EV001109; EV001110; EV001111; EV001112; EV001223; EV001224; EV001226; EV001243; EV001244; EV001245; EV001246; EV001258; EV001259; EV001261; EV001385; EV001386; EV001387; EV001388; EV001394; EV001395; EV001396; EV001461; EV001462; EV001463; EV001481; EV001482; EV001483; EV001508; EV001509; EV001510; EV001518; EV001519; EV001520; EV001521; EV001533; EV001534; EV001535; EV001634; EV001635; EV001636; EV001637; EV001698; EV001699; EV001700; EV001701",35,"High=85; Medium=33; Low=3",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D005","Mechanism with animal in vivo validation","37个Study/Material满足MODULATES + PROMOTES + VALIDATED_AT[Small Animal or Large Animal]。","MODULATES + PROMOTES + VALIDATED_AT[Small Animal or Large Animal]","CQ10","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes; 3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel; A20-CRISPRa injectable microspheres; ABT-263-loaded asymmetric composite wound dressing; α-Arbutin-crosslinked chitosan/gelatin film; Antibody-functionalized copper-sulfate nanoparticles; Calcium-silicate ion-releasing biomaterial; CAP-CD56+CD271+ BMSC-exosome-loaded PVA/SA hydrogel; CCM@CS-HG hydrogel; CeO2 nanozymes; Cerium-oxide-nanoparticle-carrying hUCMSCs; EGCG@MAB hydrogel; EMHS HxMoO3-loaded bone-targeting lipid nanoparticles; Gelatin-microcarrier-based MSC microtissues; GG-5SS strontium-silicate hydrogel scaffold; GLRX3+ extracellular-vesicle redox-modulatory hydrogel; GM-Gel glycyrrhizic-acid-microsphere-loaded GEP/chitosan hydrogel; GO/FeSe2 bio-heterojunction; GP@MgO asymmetric short-fiber aerogel; HPQ@K superlubricative drug-delivery nanoparticles; HydroWrap hydrogen-sulfide-delivery hydrogel; Lesion-localized hydrogels functionalized with engineered extracellular matrix; Lycium barbarum-derived carbon dots; Magnesium-containing bioceramics stimulate exosomal miR-196a-5p secretion; miR-29b-5p-loaded stem-cell-homing hydrogel; MMZ@Si–P53 hydrogel; MOTS-c-modified functional self-assembly peptide hydrogels; Multifunctional pH-responsive microneedles; Multimodal ROS-logic-gated therapeutic platform; Orbital hybridization-mediated nanozymes; PAA–EDA-grafted porous PEEK scaffold; PDA@RES NIR-responsive core–shell nanoplatform; PEG-HS/TiO2 nanocomposite; Senescence-targeted NAD+-dependent SIRT1-activating nanoplatform; Smart spatiotemporal drug-delivery hydrogels; YBEV-loaded GelMA hydrogel; Zn@MOF-gel dual-polyphenol ECM-mimetic hydrogel","FS0082; FS0487; FS0136; FS0207; FS0384; FS0765; FS0783; FS0322; FS0036; FS0436; FS0709; FS0490; FS1052; FS0738; FS0188; FS0913; FS0122; FS0048; FS0093; FS0142; FS0472; FS0279; FS0624; FS0311; FS0696; FS0296; FS0338; FS0346; FS0400; FS0283; FS0043; FS0402; FS0238; FS0350; FS0248; FS0226; FS0222","EV000083; EV000084; EV000108; EV000109; EV000128; EV000129; EV000132; EV000200; EV000201; EV000208; EV000227; EV000228; EV000233; EV000305; EV000306; EV000310; EV000358; EV000359; EV000365; EV000366; EV000486; EV000487; EV000515; EV000516; EV000521; EV000548; EV000549; EV000554; EV000566; EV000567; EV000571; EV000602; EV000603; EV000644; EV000645; EV000651; EV000691; EV000692; EV000697; EV000708; EV000709; EV000735; EV000736; EV000740; EV000779; EV000780; EV000783; EV000801; EV000802; EV000808; EV000847; EV000848; EV000853; EV000867; EV000868; EV000873; EV000879; EV000880; EV000963; EV000964; EV000968; EV001033; EV001034; EV001043; EV001044; EV001048; EV001109; EV001110; EV001223; EV001224; EV001229; EV001243; EV001244; EV001251; EV001258; EV001259; EV001264; EV001394; EV001395; EV001397; EV001461; EV001462; EV001466; EV001481; EV001482; EV001484; EV001508; EV001509; EV001513; EV001518; EV001519; EV001523; EV001533; EV001534; EV001634; EV001635; EV001640; EV001698; EV001699; EV001706; EV001722; EV001727; EV001746; EV001748; EV001761; EV001764; EV001771; EV001793; EV001858; EV001859; EV001874; EV001884; EV001899",37,"High=81; Medium=30; Low=2",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D006","Multi-cargo design","2个Study/Material满足count(DISTINCT DELIVERS target)≥2 + PROMOTES。","count(DISTINCT DELIVERS target)≥2 + PROMOTES","CQ08","ASD all-in-one smart hydrogel dressing; FGF-4/IGF-1-loaded cationic thermosensitive polymer scaffold","FS0810; FS0213","EV000532; EV000533; EV000535; EV001560; EV001561; EV001562; EV001563",2,"High=6; Medium=1; Low=0",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D007","Multi-cell mechanism","30个Study/Material满足count(DISTINCT TARGETS target)≥2 + MODULATES。","count(DISTINCT TARGETS target)≥2 + MODULATES","CQ09","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes; 3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel; AAV-loaded extracellular-vesicle biomimetic gene-delivery system; ABT-263-loaded asymmetric composite wound dressing; α-Arbutin-crosslinked chitosan/gelatin film; α-Klotho gene-activated scaffold; Antibody-functionalized copper-sulfate nanoparticles; Baghdadite Ceramics; Biomimetic hydrogel delivers engineered exosomes; CAP-CD56+CD271+ BMSC-exosome-loaded PVA/SA hydrogel; CeO2 nanozymes; Collagen-coated polyacrylamide hydrogels; D-EV-loaded thermosensitive injectable hydrogel; Dual-drug-encapsulated liposomal nanoparticles; EMHS HxMoO3-loaded bone-targeting lipid nanoparticles; GLRX3+ extracellular-vesicle redox-modulatory hydrogel; HIF1A@NNP nanoplatform; Honey-incorporated electrospun nanofiber membrane; IL37OI@MS responsive hydrogel microspheres; MMZ@Si–P53 hydrogel; MOTS-c-modified functional self-assembly peptide hydrogels; NH@K nanozyme-reinforced hydrogel; Orbital hybridization-mediated nanozymes; PEG-HS/TiO2 nanocomposite; Quercetin-treated human-auricular-chondrocyte/GelMA construct; Ruxolitinib-loaded hierarchically biomimetic nanostructural scaffold; Smart spatiotemporal drug-delivery hydrogels; Synovium-targeting senolytic liposomes plus M2-macrophage exosomes; TA-PFC/PCK fiber scaffold; TSH-Q quercetin-loaded temperature-sensitive hydrogel","FS0082; FS0487; FS0326; FS0207; FS0384; FS0598; FS0765; FS0642; FS0446; FS0322; FS0436; FS0450; FS0178; FS0912; FS1052; FS0913; FS0430; FS0916; FS0166; FS0296; FS0338; FS0114; FS0283; FS0238; FS0244; FS0788; FS0248; FS0278; FS0439; FS0090","EV000200; EV000203; EV000204; EV000217; EV000219; EV000220; EV000221; EV000288; EV000289; EV000290; EV000421; EV000422; EV000423; EV000424; EV000445; EV000447; EV000448; EV000515; EV000517; EV000518; EV000519; EV000602; EV000604; EV000605; EV000627; EV000628; EV000629; EV000644; EV000646; EV000647; EV000684; EV000685; EV000686; EV000708; EV000710; EV000711; EV000735; EV000737; EV000738; EV000801; EV000804; EV000805; EV000820; EV000821; EV000822; EV000847; EV000849; EV000850; EV000963; EV000965; EV000966; EV001093; EV001094; EV001095; EV001109; EV001111; EV001112; EV001122; EV001123; EV001124; EV001125; EV001135; EV001136; EV001137; EV001148; EV001149; EV001150; EV001243; EV001245; EV001246; EV001385; EV001387; EV001388; EV001409; EV001410; EV001411; EV001518; EV001520; EV001521; EV001536; EV001537; EV001538; EV001628; EV001629; EV001630; EV001634; EV001636; EV001637; EV001643; EV001645; EV001646; EV001698; EV001700; EV001701",30,"High=61; Medium=28; Low=5",,"仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D008","Validated-core missing regeneration link after stimulus–target evidence","25个Study/Material具有现有SUPPORTED路径但缺少SUPPORTED PROMOTES边。","RESPONDS_TO; TARGETS; NOT PROMOTES","CQ11","Active Magnesium Boride/Alginate Hydrogels; Asp10SAC4A supramolecular senolytic nanoplatform; D-EV-loaded thermosensitive injectable hydrogel; F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles; Fisetin-functionalized photoresponsive DNA nanocage; FMAG nanoplatform; GPQ pH-responsive anti-senescence hydrogel; HG-QNT nanocomposite hydrogel; Hydrogel-coated micro/nanostructured titanium implant; ICAM1-directed MnO2@ZIF8/Tanshinone-IIA nanoplatform; IL37OI@MS responsive hydrogel microspheres; Immunomodulating regenerating hydrogel; Iron oxide nanoparticles-driven mitochondrial renewal; Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch; LT-NPs nanoplatform; OGPQ/G-NZ quercetin–greigite nanozyme hydrogel; OSK-protein-delivery and inflammatory-niche-remodeling platform; PCC1/PHCF-Gel senolytic hydrogel; Polyphenol-armored miR-140-5p nanogene-loaded bioadhesive hydrogel; Se/PRP-OGel hydrogel; Self-healing hydrogels loaded with Spatholobi Caulis; Self-powered triboelectric-responsive EV-releasing microneedles; Senile-osteoporosis titanium implant; Senolytic/proangiogenic smart hydrogel-coated implant; TT@P-Gel hydrogel","FS0461; FS0067; FS0178; FS0534; FS0223; FS0399; FS0232; FS0312; FS0173; FS0183; FS0166; FS0252; FS0038; FS0105; FS0462; FS0133; FS0308; FS0247; FS0056; FS0148; FS0428; FS0073; FS0419; FS0392; FS0147","EV000092; EV000093; EV000094; EV000143; EV000165; EV000166; EV000175; EV000252; EV000253; EV000338; EV000375; EV000376; EV000385; EV000422; EV000423; EV000424; EV000440; EV000441; EV000446; EV000447; EV000448; EV000454; EV000455; EV000561; EV000562; EV000591; EV000637; EV000638; EV000639; EV000656; EV000657; EV000765; EV000766; EV000788; EV000993; EV001026; EV001076; EV001077; EV001089; EV001184; EV001193; EV001194; EV001195; EV001319; EV001320; EV001723; EV001730; EV001733; EV001740; EV001744; EV001745; EV001749; EV001753; EV001755; EV001763; EV001789; EV001791; EV001800; EV001872; EV001887; EV001890; EV001891",25,"High=53; Medium=9; Low=0","Validated-core missing link: no SUPPORTED PROMOTES edge.","缺少SUPPORTED edge不等于论文绝对没有相关实验或讨论。"
"D009","Validated-core missing regeneration link","42个Study/Material具有现有SUPPORTED路径但缺少SUPPORTED PROMOTES边。","TARGETS; MODULATES; NOT PROMOTES","CQ12","A-Lipo/PAHM lesion-localized hydrogel microspheres; AAV-loaded extracellular-vesicle biomimetic gene-delivery system; Active Magnesium Boride/Alginate Hydrogels; Baghdadite Ceramics; Biomimetic hydrogel delivers engineered exosomes; Collagen-coated polyacrylamide hydrogels; Curcumin-loaded liposomes; D-EV-loaded thermosensitive injectable hydrogel; Dual-drug-encapsulated liposomal nanoparticles; Extracellular-vesicle-conjugated functional-matrix hydrogel; FN9-10ELP extracellular-matrix-mimetic fusion protein; HG-QNT nanocomposite hydrogel; HIF1A@NNP nanoplatform; Honey-incorporated electrospun nanofiber membrane; Hydrogel-coated micro/nanostructured titanium implant; IL37OI@MS responsive hydrogel microspheres; Immunomodulating regenerating hydrogel; Microtopographic polymer substrates; miR-146a-5p-engineered exosomes; Mn3O4-nanoparticle photothermal hydrogel; MSC-educated tendon (METn) construct; Nanozyme-Integrated 3D-Printed Gradient Scaffold; NH@K nanozyme-reinforced hydrogel; OGPQ/G-NZ quercetin–greigite nanozyme hydrogel; OSK-protein-delivery and inflammatory-niche-remodeling platform; Polyacrylamide/alginate viscoelastic hydrogel; Porcine small-intestinal-submucosa extracellular-matrix scaffold; Prussian Blue nanoparticles; Quercetin-treated human-auricular-chondrocyte/GelMA construct; Retinoic-acid-loaded cartilage organoids; Ruxolitinib-loaded hierarchically biomimetic nanostructural scaffold; Se/PRP-OGel hydrogel; Self-healing hydrogels loaded with Spatholobi Caulis; SM@ME exosome-loaded methacrylated-silk-fibroin hydrogel; SRT1720-loaded calcium-phosphate/magnesium-phosphate nanocarriers; Surface-elastic StG hydrogels; synFGF18 mRNA lipid nanoparticles; Synovium-targeting senolytic liposomes plus M2-macrophage exosomes; TA-PFC/PCK fiber scaffold; Tonsil-derived mesenchymal stem cells incorporated in reactive oxygen species-releasing hydrogel; TSH-Q quercetin-loaded temperature-sensitive hydrogel; TT@P-Gel hydrogel","FS0062; FS0326; FS0461; FS0642; FS0446; FS0450; FS0124; FS0178; FS0912; FS0843; FS0239; FS0312; FS0430; FS0916; FS0173; FS0166; FS0252; FS0637; FS0482; FS0187; FS0306; FS0382; FS0114; FS0133; FS0308; FS0196; FS0102; FS0212; FS0244; FS0111; FS0788; FS0148; FS0428; FS0168; FS1020; FS0234; FS0404; FS0278; FS0439; FS0882; FS0090; FS0147","EV000158; EV000159; EV000217; EV000219; EV000220; EV000221; EV000244; EV000245; EV000269; EV000271; EV000288; EV000289; EV000290; EV000311; EV000312; EV000336; EV000338; EV000373; EV000376; EV000384; EV000385; EV000421; EV000422; EV000423; EV000424; EV000431; EV000432; EV000439; EV000441; EV000445; EV000447; EV000448; EV000478; EV000479; EV000492; EV000493; EV000526; EV000527; EV000596; EV000597; EV000609; EV000610; EV000627; EV000628; EV000629; EV000655; EV000657; EV000684; EV000685; EV000686; EV000757; EV000758; EV000764; EV000766; EV000786; EV000788; EV000820; EV000821; EV000822; EV000954; EV000955; EV001052; EV001053; EV001087; EV001089; EV001093; EV001094; EV001095; EV001122; EV001123; EV001124; EV001125; EV001135; EV001136; EV001137; EV001148; EV001149; EV001150; EV001183; EV001184; EV001236; EV001237; EV001404; EV001405; EV001409; EV001410; EV001411; EV001536; EV001537; EV001538; EV001597; EV001598; EV001611; EV001612; EV001628; EV001629; EV001630; EV001643; EV001645; EV001646; EV001678; EV001679",42,"High=64; Medium=29; Low=9","Validated-core missing link: no SUPPORTED PROMOTES edge.","缺少SUPPORTED edge不等于论文绝对没有相关实验或讨论。"
"D010","Validated-core missing mechanism link","21个Study/Material具有现有SUPPORTED路径但缺少SUPPORTED MODULATES边。","DELIVERS; PROMOTES; NOT MODULATES","CQ13","Adhesive injectable NRF2-modulating hydrogel microspheres; ASD all-in-one smart hydrogel dressing; Cordycepin-Loaded Dental Pulp Stem Cell-Derived Exosomes; Curcumin-loaded milk-sEV/platelet-membrane hybrid vesicles; Electrospun scaffold–bioreactor system; Enucleated-MSC-derived mitochondria-transfer microvesicles; FGF-4/IGF-1-loaded cationic thermosensitive polymer scaffold; GEA/NGel senolysis-targeting bioenergetic nanoplatform; Hairyvein-agrimony-nanovesicle-loaded microneedles; Lubricated hydrogel with STING-inhibiting EXOs; Mitochondrial-metabolism/efferocytosis-modulating microcarriers; Quercetin/HA-loaded TG-18 hydrogel; Quercetin-loaded aligned-nanowire hydrogel; Quercetin-loaded homogeneous PLGA microspheres; rhBMP-2/rapamycin co-treatment without an engineered carrier; Senomorphic Small Extracellular Vesicles Delivered by a Tissue-Adhesive α-Lipoic-Acid Hydrogel; GelMA@ZIF-8/PGE microsphere–hydrogel platform; Tannic-acid-loaded calcium-alginate/silk-fibroin-peptide/Bletilla-polysaccharide microspheres; TPG@ChSMA mitochondrial-targeted hydrogel; (ZIF-8@CeO2)@GOx-loaded sprayable GelMA hydrogel; ZIF-8/resveratrol nanoformulation","FS0367; FS0810; FS0397; FS0409; FS0134; FS0389; FS0213; FS0184; FS1040; FS0044; FS0376; FS0657; FS0433; FS0394; FS0391; FS0117; FS0295; FS0507; FS0313; FS0186; FS0538","EV000117; EV000120; EV000296; EV000297; EV000343; EV000344; EV000459; EV000461; EV000469; EV000471; EV000532; EV000533; EV000535; EV000725; EV000728; EV000793; EV000794; EV000913; EV000917; EV000933; EV000934; EV000978; EV000980; EV000985; EV000986; EV001002; EV001004; EV001015; EV001016; EV001059; EV001060; EV001099; EV001103; EV001282; EV001284; EV001332; EV001333; EV001439; EV001441; EV001560; EV001561; EV001562; EV001563; EV001685; EV001686",21,"High=35; Medium=10; Low=0","Validated-core missing link: no SUPPORTED MODULATES edge.","缺少SUPPORTED edge不等于论文绝对没有相关实验或讨论。"
